B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,NDWI,NDMI,class
0.244400,0.152700,0.245800,0.215600,0.507200,1.085300,1.295000,1.497500,1.434600,1.340200,0.748293,-0.718006,0.021452,1.000000
0.315900,0.187400,0.331000,0.269300,0.488900,1.100300,1.298900,1.251700,1.359900,1.509900,0.645891,-0.581727,-0.041431,1.000000
0.315900,0.187400,0.331000,0.269300,0.488900,1.100300,1.298900,1.251700,1.359900,1.509900,0.645891,-0.581727,-0.041431,1.000000
0.315900,0.187400,0.331000,0.269300,0.488900,1.100300,1.298900,1.251700,1.359900,1.509900,0.645891,-0.581727,-0.041431,1.000000
0.289000,0.152700,0.254300,0.192700,0.426000,1.019100,1.227500,1.542700,1.334300,1.382800,0.777919,-0.716973,0.072437,1.000000
0.304700,0.166500,0.284400,0.197900,0.441100,1.020400,1.207800,1.411600,1.271400,1.397900,0.754085,-0.664623,0.052255,1.000000
0.304700,0.166500,0.284400,0.197900,0.441100,1.020400,1.207800,1.411600,1.271400,1.397900,0.754085,-0.664623,0.052255,1.000000
0.310600,0.157300,0.241200,0.203200,0.386000,0.956200,1.155400,1.347400,1.227500,1.366400,0.737908,-0.696336,0.046565,1.000000
0.276600,0.161200,0.275900,0.206400,0.477800,0.842800,0.962100,0.914900,0.940400,1.224800,0.631856,-0.536614,-0.013744,1.000000
0.302800,0.156000,0.275200,0.213000,0.403700,0.897200,1.117400,1.215700,1.181600,1.311400,0.701827,-0.630827,0.014224,1.000000
0.310600,0.157300,0.241200,0.203200,0.386000,0.956200,1.155400,1.347400,1.227500,1.366400,0.737908,-0.696336,0.046565,1.000000
0.279800,0.270000,0.397100,0.374200,0.681600,1.133100,1.308100,1.354600,1.350700,1.315300,0.567099,-0.546612,0.001442,1.000000
0.279800,0.270000,0.397100,0.374200,0.681600,1.133100,1.308100,1.354600,1.350700,1.315300,0.567099,-0.546612,0.001442,1.000000
0.409600,0.229400,0.328300,0.296900,0.541300,1.137700,1.360500,1.523000,1.431900,1.500800,0.673718,-0.645330,0.030830,1.000000
0.409600,0.229400,0.328300,0.296900,0.541300,1.137700,1.360500,1.523000,1.431900,1.500800,0.673718,-0.645330,0.030830,1.000000
